代码,类型,名称,现价,涨跌,涨跌幅,溢折率,成交额,换手率,5日涨跌幅,年初至今,基金份额,估算规模,规模变化,管理公司,年初至今份额变动,年初至今份额变动率,IOPV,跟踪指数代码,跟踪指数名称,市盈率,市净率,上市地
511360.SH,债,短融ETF,111.872,0.01,0.0001,0,9860611695,0.2113,0.0004,0.0066,417062600,46653957036,82539948.48,海富通基金,153014000,57.94918057,0,h11014.CSI,中证短融,,,上海证券交易所
511190.SH,债,信用债ETF,100.629,0.051,0.0005,0,9828657488,1.0544,0.0016,0,92634300,9311405304,280921115.8,海富通基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511070.SH,债,上证公司债ETF,100.616,0.077,0.0008,0,9501405397,0.7995,0.0017,0,118151000,11871611623,404310503.2,南方基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511520.SH,债,政金债券ETF,115.462,0.121,0.001,0,8731336268,0.1817,0.0032,0.0037,416336500,48029244778,40357363.75,富国基金,92700000,28.64324636,0,CBA08203.CS,中债-7-10年政策性金融债全价(总值)指数,,,上海证券交易所
159395.SZ,债,信用债ETF大成,100.96,0.054,0.0005,0,8295232286,1.2699,0.0015,0,64714202,6525909558,60832182.43,大成基金,,,0,921128.CNI,深做市信用债,,,深圳证券交易所
511200.SH,债,信用债ETF基金,100.83,0.08,0.0008,0,7310278643,0.9731,0.0014,0,74507500,7501899399,383471331.5,华夏基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511880.SH,货,银华日利ETF,100.591,0.012,0.0001,0,6377016055,0.0814,0.0003,0.005,779138200,78366888863,-1208160.69,银华基金,169973960,27.90281321,0,,,,,上海证券交易所
511990.SH,货,华宝添益ETF,100.007,0.007,0.0001,0,6339005798,0.0791,0.0001,0,801095000,80109500000,-289230000,华宝基金,5178816.254,0.650673571,0,,,,,上海证券交易所
511110.SH,债,公司债ETF易方达,100.693,0.076,0.0008,0,5903954377,0.4889,0.0018,0,119939600,12060154665,169873268.8,易方达基金,,,0,950245.CSI,沪做市公司债,,,上海证券交易所
511090.SH,债,30年国债ETF,123.345,0.246,0.002,0,5576354911,0.3048,0.0084,0.0056,148378100,18257272341,-48650097.81,鹏扬基金,99960000,206.4517195,0,CBA21801.CS,中债-30年期国债财富(总值)指数,,,上海证券交易所
513120.SH,跨,港股创新药ETF,1.08,0.024,0.0227,-0.0045,4955669232,0.5069,0.0599,0.4897,9221635400,9778622178,-154041879,广发基金,-1699000000,-15.55770281,1.0849,931787CNY00.CSI,港股创新药(CNY),,,上海证券交易所
